City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
77,Antofagasta,-23.65,-70.4,296.75,69,41,3.67,CL,2023-03-23
78,Vaini,-21.2,-175.2,298.24,83,75,3.09,TO,2023-03-23
79,Korla,41.7597,86.1469,282.15,29,0,3.48,CN,2023-03-23
80,Hilo,19.7297,-155.09,297.73,92,75,2.57,US,2023-03-23
81,Carnarvon,-24.8667,113.6333,298.21,71,46,6.17,AU,2023-03-23
82,Saint-Philippe,-21.3585,55.7679,298.92,82,96,3.85,RE,2023-03-23
83,Chuy,-33.6971,-53.4616,296.79,84,81,2.95,UY,2023-03-23
84,Faanui,-16.4833,-151.75,301.26,74,71,6.88,PF,2023-03-23
85,Olinda,-8.0089,-34.8553,302.0,70,40,4.63,BR,2023-03-23
86,Puerto Ayora,-0.7393,-90.3518,303.13,84,90,3.13,EC,2023-03-23
87,Castro,-24.7911,-50.0119,299.74,52,98,1.27,BR,2023-03-23
88,Brosteni,47.2333,25.7,280.34,91,100,1.9,RO,2023-03-23
89,Fairbanks,64.8378,-147.7164,271.53,74,100,1.39,US,2023-03-23
90,Mission Bend,29.6938,-95.6649,302.68,63,40,6.69,US,2023-03-23
91,Maldonado,-34.6667,-54.9167,298.81,74,34,4.64,UY,2023-03-23
92,Jamestown,42.097,-79.2353,285.11,95,100,4.63,US,2023-03-23
93,Butaritari,3.0707,172.7902,300.67,79,100,8.0,KI,2023-03-23
94,Beboto,8.2668,16.939,301.28,48,5,1.64,TD,2023-03-23
95,Bethel,41.3712,-73.414,285.2,84,100,5.66,US,2023-03-23
96,Los Llanos De Aridane,28.6585,-17.9182,291.01,77,75,5.66,ES,2023-03-23
97,Veraval,20.9,70.3667,298.02,79,0,4.49,IN,2023-03-23
98,Petrovsk,52.3064,45.3917,279.92,74,3,2.61,RU,2023-03-23
99,Hasaki,35.7333,140.8333,294.37,91,100,12.16,JP,2023-03-23
100,Namibe,-15.1961,12.1522,297.47,79,89,2.65,AO,2023-03-23
101,Kitimat,54.0524,-128.6534,278.66,61,100,0.9,CA,2023-03-23
102,Soverato,38.685,16.5499,288.24,87,9,4.29,IT,2023-03-23
103,Ponta Do Sol,32.6667,-17.1,292.43,75,45,1.59,PT,2023-03-23
104,Prachuap Khiri Khan,12.2167,99.75,294.43,86,8,1.76,TH,2023-03-23
105,Auki,-8.7676,160.7034,297.8,84,58,2.66,SB,2023-03-23
106,Dingle,10.9995,122.6711,297.73,92,38,2.56,PH,2023-03-23
107,Cidreira,-30.1811,-50.2056,299.38,79,40,5.61,BR,2023-03-23
108,Sergeyevka,53.88,67.4158,267.09,93,100,3.19,KZ,2023-03-23
109,Tiksi,71.6872,128.8694,257.2,96,100,2.4,RU,2023-03-23
110,Yellowknife,62.456,-114.3525,260.13,60,7,5.81,CA,2023-03-23
111,Mount Isa,-20.7333,139.5,293.02,83,0,0.0,AU,2023-03-23
112,Yulara,-25.2406,130.9889,296.48,32,99,3.13,AU,2023-03-23
113,Mitsamiouli,-11.3847,43.2844,301.04,74,87,0.96,KM,2023-03-23
114,Goundi,9.3627,17.366,305.99,33,39,1.14,TD,2023-03-23
115,Darhan,49.4867,105.9228,259.61,87,100,2.02,MN,2023-03-23
116,Kirovskiy,45.0917,133.5136,271.21,55,6,3.21,RU,2023-03-23
117,Tuatapere,-46.1333,167.6833,280.69,94,77,2.28,NZ,2023-03-23
118,Alugan,12.2188,125.4808,299.22,87,16,3.42,PH,2023-03-23
119,Laje,-10.1833,-40.9667,301.86,47,40,7.65,BR,2023-03-23
120,San Patricio,28.017,-97.5169,304.12,60,13,11.11,US,2023-03-23
121,Tual,-5.6667,132.75,302.12,71,91,3.0,ID,2023-03-23
122,Vanavara,60.34,102.2797,262.91,92,27,3.74,RU,2023-03-23
123,Severo-Kurilsk,50.6789,156.125,274.86,90,100,6.45,RU,2023-03-23
124,Zboriste,45.1458,16.0178,285.56,61,30,1.72,BA,2023-03-23
125,Brae,60.3964,-1.353,279.75,86,100,1.28,GB,2023-03-23
126,Lorengau,-2.0226,147.2712,299.45,70,72,1.01,PG,2023-03-23
127,Benguela,-12.5763,13.4055,299.3,75,92,0.49,AO,2023-03-23
128,Maragheh,37.3917,46.2398,282.02,59,73,1.46,IR,2023-03-23
129,New Norfolk,-42.7826,147.0587,282.43,83,6,1.52,AU,2023-03-23
130,Ituporanga,-27.4144,-49.6025,301.73,64,99,0.62,BR,2023-03-23
131,Half Moon Bay,37.4636,-122.4286,287.54,66,0,10.8,US,2023-03-23
132,Tecoanapa,16.5167,-98.75,303.18,55,10,4.86,MX,2023-03-23
133,Silver City,32.7701,-108.2803,285.13,45,75,9.83,US,2023-03-23
134,Port Lincoln,-34.7333,135.8667,290.1,82,100,4.19,AU,2023-03-23
135,Byron Bay,-28.65,153.6167,292.56,82,15,3.26,AU,2023-03-23
136,Klaksvik,62.2266,-6.589,276.66,97,100,19.15,FO,2023-03-23
137,Marsa Matruh,31.3525,27.2453,292.95,65,100,3.17,EG,2023-03-23
138,San Andres,12.5847,-81.7006,303.16,58,40,6.69,CO,2023-03-23
139,Boali,4.8005,18.1275,295.75,85,34,1.35,CF,2023-03-23
140,Lake City,30.1897,-82.6393,303.48,41,0,3.09,US,2023-03-23
141,Lebu,-37.6167,-73.65,289.38,61,0,6.78,CL,2023-03-23
142,Srednekolymsk,67.45,153.6833,239.33,96,33,1.44,RU,2023-03-23
143,Zaragoza,41.6561,-0.8773,297.4,30,0,2.06,ES,2023-03-23
144,Muros,42.7762,-9.0603,288.76,88,100,10.06,ES,2023-03-23
145,The Pas,53.8251,-101.2541,270.75,82,15,3.7,CA,2023-03-23
146,Poya,-21.35,165.15,295.34,81,0,1.96,NC,2023-03-23
147,Sorland,67.667,12.6934,271.07,59,6,7.94,NO,2023-03-23
148,Mogadishu,2.0371,45.3438,300.94,81,100,5.24,SO,2023-03-23
149,Imeni Poliny Osipenko,52.4201,136.4853,250.34,100,21,2.0,RU,2023-03-23
150,Qui Nhon,13.7667,109.2333,295.92,90,49,3.68,VN,2023-03-23
151,Carnduff,49.1667,-101.8009,269.47,83,6,3.87,CA,2023-03-23
152,Constitucion,-35.3333,-72.4167,294.99,47,0,7.03,CL,2023-03-23
153,Salimpur,28.128,76.2766,295.24,46,18,1.33,IN,2023-03-23
154,Navahrudak,53.6,25.8333,283.32,84,100,5.12,BY,2023-03-23
155,Saint George,37.1041,-113.5841,285.06,60,0,0.89,US,2023-03-23
156,Conroe,30.3119,-95.456,302.43,61,40,7.72,US,2023-03-23
157,Cherskiy,68.75,161.3,241.87,100,100,3.02,RU,2023-03-23
158,Luderitz,-26.6481,15.1594,289.39,86,0,1.18,NA,2023-03-23
159,Port Hardy,50.6996,-127.4199,281.17,65,91,3.93,CA,2023-03-23
160,Arraial Do Cabo,-22.9661,-42.0278,302.07,74,20,4.12,BR,2023-03-23
161,Te Anau,-45.4167,167.7167,279.36,92,97,0.56,NZ,2023-03-23
162,Bambous Virieux,-20.3428,57.7575,299.94,83,90,5.27,MU,2023-03-23
163,Sao Joao Da Barra,-21.6403,-41.0511,302.2,76,0,5.02,BR,2023-03-23
164,Camacha,33.0833,-16.3333,289.83,63,20,3.6,PT,2023-03-23
165,Saint-Pierre,-21.3393,55.4781,298.97,78,0,1.03,RE,2023-03-23
166,Manokwari,-0.8667,134.0833,298.32,80,100,1.73,ID,2023-03-23
167,Pirgos,35.1167,25.7178,289.05,68,60,5.94,GR,2023-03-23
168,Prachin Buri,14.0833,101.6667,298.78,73,1,1.78,TH,2023-03-23
169,La Ronge,55.1001,-105.2842,271.25,99,97,1.39,CA,2023-03-23
170,Petropavlovsk-Kamchatskiy,53.0452,158.6483,271.48,86,75,1.0,RU,2023-03-23
